Source.Port,Destination.Port,URG.Flag.Count,min_seg_size_forward,L7Protocol,ProtocolName
1364,3128,0,20,126,GOOGLE
43790,443,0,32,91,SSL
3128,59399,1,20,7,HTTP
53824,3128,0,20,131,HTTP_PROXY
60948,80,0,32,7,HTTP
50692,443,0,32,122,GMAIL
64379,3128,0,20,126,GOOGLE
3128,49572,0,20,131,HTTP_PROXY
35407,443,0,32,126,GOOGLE
51083,3128,0,20,131,HTTP_PROXY
49891,3128,0,20,130,HTTP_CONNECT
57469,3128,0,20,124,YOUTUBE
3128,49523,1,20,7,HTTP
53318,3128,0,20,125,SKYPE
3128,58905,1,20,7,HTTP
58697,3128,0,20,130,HTTP_CONNECT
33003,443,1,32,119,FACEBOOK
50224,3128,0,20,131,HTTP_PROXY
37496,443,1,20,91,SSL
54024,443,1,32,212,MICROSOFT
49718,3128,0,32,126,GOOGLE
3900,3128,0,20,126,GOOGLE
46891,443,0,32,91,SSL
55146,3128,0,20,126,GOOGLE
35997,443,1,32,126,GOOGLE
53302,3128,0,20,131,HTTP_PROXY
34743,443,0,32,120,TWITTER
52873,80,1,32,7,HTTP
50599,443,0,32,91,SSL
4864,3128,0,32,131,HTTP_PROXY
49791,443,0,32,91,SSL
37861,80,1,32,178,AMAZON
50548,3128,1,20,126,GOOGLE
33676,80,0,32,68,MSN
58292,80,1,32,178,AMAZON
3128,63408,0,20,7,HTTP
54981,3128,1,20,126,GOOGLE
52101,443,0,20,212,MICROSOFT
4037,3128,1,32,130,HTTP_CONNECT
56600,80,0,32,7,HTTP
49533,3128,0,20,124,YOUTUBE
50304,3128,0,20,131,HTTP_PROXY
54783,443,0,32,126,GOOGLE
34457,443,0,32,142,WHATSAPP
33155,443,0,32,91,SSL
53961,443,1,32,124,YOUTUBE
48630,443,0,32,125,SKYPE
50815,443,0,32,124,YOUTUBE
36698,443,0,32,91,SSL
35897,443,0,32,91,SSL
49452,3128,1,20,126,GOOGLE
3128,59610,1,20,7,HTTP
50294,3128,0,20,126,GOOGLE
35188,80,1,32,7,HTTP
46388,80,1,32,126,GOOGLE
46957,443,0,32,91,SSL
57544,3128,0,20,126,GOOGLE
59690,3128,0,20,130,HTTP_CONNECT
49774,3128,0,20,131,HTTP_PROXY
3128,56005,1,20,7,HTTP
49414,443,0,32,126,GOOGLE
3128,52423,1,20,7,HTTP
3128,51899,1,20,131,HTTP_PROXY
52869,443,0,32,126,GOOGLE
3128,49459,0,20,7,HTTP
55373,3128,1,20,130,HTTP_CONNECT
3128,42542,1,32,7,HTTP
36047,443,0,32,91,SSL
57745,80,0,32,70,YAHOO
39012,443,0,32,91,SSL
59478,443,0,32,126,GOOGLE
3128,34154,1,32,7,HTTP
49912,3128,0,20,131,HTTP_PROXY
39261,443,1,32,126,GOOGLE
49929,80,0,32,7,HTTP
3128,55547,0,20,7,HTTP
41545,443,1,32,91,SSL
54621,443,1,32,126,GOOGLE
34425,443,0,32,120,TWITTER
51795,3128,0,20,126,GOOGLE
55025,3128,0,20,126,GOOGLE
3128,54868,1,20,7,HTTP
34603,443,1,32,91,SSL
3128,53694,1,32,7,HTTP
3128,3500,1,20,70,YAHOO
80,43969,1,32,178,AMAZON
44881,443,1,32,126,GOOGLE
443,51904,0,32,126,GOOGLE
58295,3128,0,20,131,HTTP_PROXY
36803,443,0,32,91,SSL
38996,80,0,32,178,AMAZON
47976,443,0,32,126,GOOGLE
42156,443,0,32,212,MICROSOFT
52035,3128,0,20,131,HTTP_PROXY
46560,443,0,32,126,GOOGLE
54457,3128,0,20,131,HTTP_PROXY
55750,443,0,32,126,GOOGLE
3128,63960,1,20,7,HTTP
47547,443,0,32,70,YAHOO
3128,60688,1,20,7,HTTP
60846,3128,0,20,126,GOOGLE
50389,3128,0,20,212,MICROSOFT
3128,7241,1,20,7,HTTP
54383,3128,0,20,131,HTTP_PROXY
41539,443,0,32,122,GMAIL
40388,443,0,32,120,TWITTER
55356,443,0,32,126,GOOGLE
42570,443,0,32,178,AMAZON
50000,3128,0,20,124,YOUTUBE
49337,3128,0,20,130,HTTP_CONNECT
3128,63275,1,20,7,HTTP
46832,443,0,32,91,SSL
56606,3128,0,20,126,GOOGLE
52818,443,0,32,126,GOOGLE
59358,443,0,32,91,SSL
38605,443,0,32,91,SSL
50578,3128,0,20,7,HTTP
60147,3128,1,20,212,MICROSOFT
50054,3128,0,20,126,GOOGLE
51909,443,1,20,91,SSL
1847,3128,1,20,131,HTTP_PROXY
39823,443,0,32,91,SSL
3128,3809,0,32,7,HTTP
50481,3128,0,20,130,HTTP_CONNECT
33132,443,0,32,126,GOOGLE
41376,80,1,32,7,HTTP
50817,3128,1,32,126,GOOGLE
3128,57285,1,20,7,HTTP
50518,3128,0,20,131,HTTP_PROXY
52426,3128,1,20,130,HTTP_CONNECT
3128,51536,1,20,7,HTTP
59020,3128,0,20,126,GOOGLE
53107,3128,0,20,131,HTTP_PROXY
52560,443,0,32,91,SSL
39784,443,0,32,126,GOOGLE
3128,60016,0,20,131,HTTP_PROXY
3128,1230,1,20,7,HTTP
54779,3128,0,20,126,GOOGLE
58465,443,0,32,91,SSL
65106,3128,1,20,130,HTTP_CONNECT
50426,3128,0,32,147,WINDOWS_UPDATE
60078,443,0,32,178,AMAZON
39235,443,1,32,119,FACEBOOK
52848,3128,0,20,131,HTTP_PROXY
57605,3128,0,20,7,HTTP
443,38859,0,20,220,CLOUDFLARE
59262,3128,1,20,130,HTTP_CONNECT
56332,443,0,20,91,SSL
55258,3128,0,20,124,YOUTUBE
54262,3128,1,32,131,HTTP_PROXY
3128,50689,0,20,7,HTTP
3128,1348,1,20,7,HTTP
61521,3128,1,20,70,YAHOO
47677,443,1,32,126,GOOGLE
49928,80,1,32,7,HTTP
60782,443,0,32,124,YOUTUBE
54240,443,1,20,91,SSL
3128,54031,1,20,7,HTTP
51963,3128,0,20,131,HTTP_PROXY
44155,3128,0,32,131,HTTP_PROXY
42259,443,0,32,126,GOOGLE
443,60784,1,32,126,GOOGLE
58887,3128,0,20,126,GOOGLE
47157,443,0,32,126,GOOGLE
55719,3128,0,20,130,HTTP_CONNECT
60554,443,1,20,91,SSL
3128,52594,1,32,7,HTTP
64815,3128,0,20,125,SKYPE
51399,3128,0,20,131,HTTP_PROXY
62381,3128,0,20,131,HTTP_PROXY
33757,443,0,32,91,SSL
3128,53174,0,20,131,HTTP_PROXY
37374,3128,1,32,131,HTTP_PROXY
49934,80,1,32,126,GOOGLE
49205,3128,0,20,131,HTTP_PROXY
3128,3192,0,32,7,HTTP
54742,3128,0,20,130,HTTP_CONNECT
49851,3128,0,20,126,GOOGLE
49773,3128,0,20,70,YAHOO
40214,443,0,32,126,GOOGLE
51653,3128,0,20,126,GOOGLE
3613,3128,0,32,130,HTTP_CONNECT
52386,443,0,32,91,SSL
62997,3128,1,20,126,GOOGLE
50593,3128,0,32,126,GOOGLE
38174,80,0,32,7,HTTP
36404,80,1,32,126,GOOGLE
61241,3128,0,20,126,GOOGLE
38890,443,0,32,91,SSL
443,59742,0,32,126,GOOGLE
55131,80,1,32,7,HTTP
3128,4129,1,32,7,HTTP
38876,443,0,32,91,SSL
3128,49864,1,20,7,HTTP
51391,3128,0,20,131,HTTP_PROXY
41850,443,0,32,126,GOOGLE
3128,65440,1,20,7,HTTP
53878,443,1,32,91,SSL
56880,3128,0,20,124,YOUTUBE
50247,3128,0,20,126,GOOGLE
49911,443,0,32,124,YOUTUBE
52749,443,0,32,91,SSL
50946,3128,0,20,130,HTTP_CONNECT
3639,3128,0,32,131,HTTP_PROXY
60082,443,0,32,91,SSL
60823,443,0,32,126,GOOGLE
51306,3128,0,20,126,GOOGLE
63627,3128,0,20,126,GOOGLE
64320,3128,0,20,131,HTTP_PROXY
42113,80,0,32,7,HTTP
3128,53137,1,20,7,HTTP
3128,2899,1,20,7,HTTP
50786,3128,1,32,131,HTTP_PROXY
4923,3128,0,20,126,GOOGLE
47977,443,0,32,126,GOOGLE
34861,80,0,32,7,HTTP
50038,3128,0,20,131,HTTP_PROXY
53938,443,1,32,124,YOUTUBE
50134,3128,0,20,130,HTTP_CONNECT
35122,443,0,32,126,GOOGLE
57141,3128,0,20,130,HTTP_CONNECT
3128,54054,0,32,7,HTTP
443,57007,0,32,126,GOOGLE
3128,2777,1,32,7,HTTP
50992,3128,0,20,130,HTTP_CONNECT
3128,65168,1,20,131,HTTP_PROXY
53031,3128,0,20,131,HTTP_PROXY
49578,3128,1,20,126,GOOGLE
50843,3128,0,20,131,HTTP_PROXY
1640,3128,0,20,130,HTTP_CONNECT
3128,52557,1,20,7,HTTP
41442,443,0,32,126,GOOGLE
443,40271,0,32,91,SSL
58227,443,0,20,91,SSL
58278,3128,0,20,126,GOOGLE
52629,443,1,20,91,SSL
3128,60887,1,20,7,HTTP
33265,443,1,32,126,GOOGLE
58148,3128,0,32,126,GOOGLE
443,42568,0,32,126,GOOGLE
49824,3128,0,20,131,HTTP_PROXY
48647,443,0,32,126,GOOGLE
3029,3128,0,32,130,HTTP_CONNECT
3128,64635,1,20,7,HTTP
43238,443,0,32,91,SSL
48914,443,0,32,126,GOOGLE
33457,443,1,32,124,YOUTUBE
53637,443,0,32,91,SSL
3128,56178,1,20,7,HTTP
44746,443,0,32,91,SSL
52403,3128,0,20,126,GOOGLE
52949,3128,0,20,131,HTTP_PROXY
3128,53638,1,20,7,HTTP
61022,3128,0,20,119,FACEBOOK
33320,2221,1,32,7,HTTP
36690,443,0,32,126,GOOGLE
64641,3128,0,20,126,GOOGLE
58379,3128,0,20,126,GOOGLE
3128,51262,1,20,7,HTTP
51033,3128,0,20,130,HTTP_CONNECT
60642,3128,0,20,131,HTTP_PROXY
33798,80,0,32,7,HTTP
51017,3128,0,20,131,HTTP_PROXY
47878,443,0,32,91,SSL
53844,3128,0,32,126,GOOGLE
49705,3128,0,20,130,HTTP_CONNECT
3128,49528,0,20,7,HTTP
50025,3128,1,20,126,GOOGLE
62365,3128,0,20,126,GOOGLE
33319,443,0,32,126,GOOGLE
3128,49872,1,20,7,HTTP
51453,3128,0,20,178,AMAZON
53737,3128,0,20,124,YOUTUBE
58344,443,1,32,124,YOUTUBE
61228,3128,0,20,212,MICROSOFT
2955,3128,0,20,131,HTTP_PROXY
46115,443,0,32,126,GOOGLE
35145,443,0,32,91,SSL
59934,3128,0,20,126,GOOGLE
49475,3128,0,20,131,HTTP_PROXY
1662,3128,1,20,126,GOOGLE
56059,3128,0,20,131,HTTP_PROXY
49465,443,1,32,126,GOOGLE
57966,443,0,32,124,YOUTUBE
80,38400,0,32,7,HTTP
443,44292,0,32,126,GOOGLE
33668,80,0,32,7,HTTP
56486,443,0,32,91,SSL
3128,50970,0,20,131,HTTP_PROXY
58616,80,0,32,7,HTTP
42269,443,0,32,91,SSL
443,46608,0,32,126,GOOGLE
3128,2079,0,20,7,HTTP
55459,3128,0,20,126,GOOGLE
58158,443,1,32,64,SSL_NO_CERT
49482,3128,0,32,130,HTTP_CONNECT
33946,443,0,32,124,YOUTUBE
47026,80,0,32,178,AMAZON
3128,64857,1,20,7,HTTP
49983,3128,0,20,126,GOOGLE
54204,3128,0,20,131,HTTP_PROXY
49370,3128,1,20,126,GOOGLE
3128,50213,1,20,7,HTTP
47903,443,1,20,126,GOOGLE
51055,3128,0,20,130,HTTP_CONNECT
44586,443,0,32,91,SSL
2568,3128,1,32,130,HTTP_CONNECT
3128,56657,0,20,131,HTTP_PROXY
3128,49331,1,32,7,HTTP
1390,3128,1,20,131,HTTP_PROXY
57275,3128,0,20,126,GOOGLE
54218,3128,1,20,130,HTTP_CONNECT
34104,443,0,32,91,SSL
443,55854,0,32,121,DROPBOX
443,47297,0,32,126,GOOGLE
43529,80,1,32,178,AMAZON
56604,3128,0,20,126,GOOGLE
48764,443,1,32,126,GOOGLE
3128,50687,0,20,7,HTTP
63743,3128,0,20,126,GOOGLE
34698,443,0,32,126,GOOGLE
43310,443,0,32,124,YOUTUBE
3128,49988,1,20,7,HTTP
52883,3128,0,20,126,GOOGLE
3128,55812,1,32,131,HTTP_PROXY
443,59028,0,32,121,DROPBOX
53674,443,0,32,126,GOOGLE
50365,3128,0,20,212,MICROSOFT
3128,51445,0,20,131,HTTP_PROXY
61246,3128,0,20,126,GOOGLE
36286,443,0,32,91,SSL
59979,53,0,20,126,GOOGLE
3128,56661,0,20,7,HTTP
3128,61923,1,20,130,HTTP_CONNECT
443,51511,0,32,126,GOOGLE
50768,3128,0,20,130,HTTP_CONNECT
46291,443,0,32,91,SSL
443,48764,0,32,126,GOOGLE
2030,3128,1,32,130,HTTP_CONNECT
49513,3128,0,20,126,GOOGLE
443,56018,0,32,121,DROPBOX
3128,50833,1,20,7,HTTP
53550,3128,0,20,131,HTTP_PROXY
49693,3128,0,20,126,GOOGLE
43611,443,0,32,126,GOOGLE
51163,443,0,32,91,SSL
50017,3128,0,20,124,YOUTUBE
443,33373,1,32,124,YOUTUBE
47985,80,1,32,7,HTTP
51661,3128,0,20,130,HTTP_CONNECT
65515,3128,0,20,126,GOOGLE
3128,60285,1,20,7,HTTP
3128,50404,1,32,7,HTTP
52212,3128,0,20,130,HTTP_CONNECT
44025,80,1,32,7,HTTP
59871,3128,0,20,131,HTTP_PROXY
47281,443,0,32,91,SSL
53838,3128,0,20,130,HTTP_CONNECT
49090,443,0,32,126,GOOGLE
41172,443,0,32,147,WINDOWS_UPDATE
47321,443,1,32,126,GOOGLE
34981,443,0,32,126,GOOGLE
62964,3128,0,20,130,HTTP_CONNECT
55700,3128,0,20,124,YOUTUBE
443,56093,0,32,178,AMAZON
50466,3128,0,20,126,GOOGLE
41006,443,0,32,126,GOOGLE
58403,443,0,20,91,SSL
60323,3128,0,32,130,HTTP_CONNECT
1308,3128,0,20,131,HTTP_PROXY
54764,443,0,32,126,GOOGLE
3128,5715,1,20,7,HTTP
3128,49446,0,20,131,HTTP_PROXY
38883,443,0,32,91,SSL
49482,3128,0,32,119,FACEBOOK
58118,3128,0,32,130,HTTP_CONNECT
443,60467,0,32,126,GOOGLE
3128,49566,1,20,7,HTTP
52096,3128,0,20,131,HTTP_PROXY
62255,3128,0,20,126,GOOGLE
63921,3128,0,20,131,HTTP_PROXY
60307,3128,0,20,131,HTTP_PROXY
3128,64354,0,32,131,HTTP_PROXY
50364,3128,0,20,212,MICROSOFT
3128,57766,1,20,7,HTTP
50714,3128,0,32,130,HTTP_CONNECT
2769,3128,0,20,124,YOUTUBE
3128,50337,1,20,7,HTTP
51729,3128,0,20,131,HTTP_PROXY
3128,1655,1,20,7,HTTP
53478,3128,0,20,130,HTTP_CONNECT
33849,443,0,32,126,GOOGLE
51402,3128,0,20,131,HTTP_PROXY
65327,3128,0,20,131,HTTP_PROXY
44183,443,1,32,126,GOOGLE
53671,80,0,32,211,INSTAGRAM
51159,3128,0,20,130,HTTP_CONNECT
40871,80,0,32,178,AMAZON
56067,443,0,32,126,GOOGLE
54367,3128,0,20,124,YOUTUBE
48101,443,0,32,91,SSL
58935,443,0,32,91,SSL
3128,50140,1,20,7,HTTP
2339,3128,0,20,131,HTTP_PROXY
50157,443,1,32,91,SSL
52449,3128,1,20,131,HTTP_PROXY
51704,3128,0,20,126,GOOGLE
52386,3128,0,20,125,SKYPE
52665,3128,0,20,131,HTTP_PROXY
3128,49725,1,20,7,HTTP
59874,443,1,32,126,GOOGLE
50535,3128,0,20,7,HTTP
54741,443,0,32,70,YAHOO
62036,3128,0,20,7,HTTP
3128,49366,0,20,131,HTTP_PROXY
64454,3128,0,20,126,GOOGLE
41787,80,1,32,7,HTTP
64356,3128,0,20,131,HTTP_PROXY
58607,443,0,32,126,GOOGLE
36905,443,0,32,126,GOOGLE
55761,443,1,32,126,GOOGLE
3741,3128,0,20,130,HTTP_CONNECT
51927,3128,0,20,131,HTTP_PROXY
53611,8089,1,32,7,HTTP
3128,64158,1,20,7,HTTP
3128,52089,1,20,7,HTTP
44338,2221,1,32,7,HTTP
443,52633,0,32,126,GOOGLE
50789,3128,0,20,131,HTTP_PROXY
59339,3128,0,20,126,GOOGLE
58153,443,1,32,126,GOOGLE
443,49552,0,32,91,SSL
47422,443,0,32,91,SSL
3128,50130,0,20,131,HTTP_PROXY
49279,3128,0,20,126,GOOGLE
56380,443,0,32,126,GOOGLE
40021,443,0,32,91,SSL
65097,3128,0,20,126,GOOGLE
443,39421,1,32,91,SSL
42040,443,1,32,126,GOOGLE
3128,51140,0,32,7,HTTP
443,50144,0,32,126,GOOGLE
3128,55829,1,20,131,HTTP_PROXY
42714,443,1,32,91,SSL
62321,3128,0,20,131,HTTP_PROXY
55642,3128,0,20,126,GOOGLE
64142,3128,1,20,130,HTTP_CONNECT
47783,443,0,32,126,GOOGLE
443,48656,0,32,91,SSL
51363,3128,0,20,7,HTTP
65118,3128,1,20,126,GOOGLE
50448,3128,0,20,126,GOOGLE
51748,443,0,32,126,GOOGLE
60870,443,0,20,91,SSL
57096,3128,0,20,130,HTTP_CONNECT
58818,3128,0,20,125,SKYPE
2364,3128,0,20,124,YOUTUBE
3128,52438,1,32,7,HTTP
54731,3128,0,20,130,HTTP_CONNECT
3128,3044,0,20,131,HTTP_PROXY
50466,3128,0,20,7,HTTP
59435,3128,0,20,131,HTTP_PROXY
49839,3128,0,32,122,GMAIL
49410,80,1,32,7,HTTP
57882,443,1,32,91,SSL
1075,3128,0,20,131,HTTP_PROXY
59872,3128,0,20,7,HTTP
50710,3128,1,20,130,HTTP_CONNECT
42487,80,0,32,7,HTTP
54222,3128,0,20,126,GOOGLE
3128,3193,1,20,131,HTTP_PROXY
34774,443,0,32,91,SSL
53485,3128,0,20,125,SKYPE
44523,443,0,32,126,GOOGLE
50214,3128,0,20,131,HTTP_PROXY
3128,54540,0,20,131,HTTP_PROXY
56866,3128,0,20,130,HTTP_CONNECT
51899,3128,0,32,130,HTTP_CONNECT
39695,80,0,32,178,AMAZON
38667,8089,0,32,7,HTTP
34131,80,0,32,7,HTTP
2619,3128,1,20,130,HTTP_CONNECT
50987,3128,0,20,126,GOOGLE
57027,3128,0,20,126,GOOGLE
443,58009,0,32,126,GOOGLE
80,57846,0,32,7,HTTP
58221,443,0,32,70,YAHOO
443,37848,0,32,126,GOOGLE
55470,443,1,32,126,GOOGLE
57616,443,0,32,91,SSL
63570,3128,0,20,126,GOOGLE
42718,443,0,32,140,APPLE
54653,3128,0,32,126,GOOGLE
48121,80,0,32,7,HTTP
53357,3128,1,20,126,GOOGLE
4770,3128,0,32,130,HTTP_CONNECT
50335,3128,0,20,126,GOOGLE
42576,80,1,32,178,AMAZON
52368,3128,1,20,126,GOOGLE
53379,3128,0,20,126,GOOGLE
49653,3128,0,20,131,HTTP_PROXY
36680,80,1,32,126,GOOGLE
49869,3128,0,32,130,HTTP_CONNECT
39711,443,1,32,126,GOOGLE
49534,3128,0,20,130,HTTP_CONNECT
58211,3128,0,20,133,NETFLIX
54949,3128,0,20,131,HTTP_PROXY
52967,3128,0,20,131,HTTP_PROXY
47613,443,0,32,126,GOOGLE
63265,3128,0,20,126,GOOGLE
54165,443,1,32,126,GOOGLE
55146,443,0,32,126,GOOGLE
35894,3128,0,32,130,HTTP_CONNECT
49335,3128,1,20,126,GOOGLE
61059,3128,0,20,131,HTTP_PROXY
57899,3128,0,20,131,HTTP_PROXY
60696,443,0,32,91,SSL
51754,443,0,32,126,GOOGLE
47489,443,0,32,126,GOOGLE
443,51733,0,32,126,GOOGLE
51415,3128,0,20,131,HTTP_PROXY
53996,443,0,32,126,GOOGLE
51472,3128,0,20,126,GOOGLE
55167,443,0,32,126,GOOGLE
0,0,0,0,81,IP_ICMP
58523,443,0,32,126,GOOGLE
46813,80,0,32,7,HTTP
54546,3128,0,20,131,HTTP_PROXY
50584,3128,0,20,131,HTTP_PROXY
50217,3128,0,20,130,HTTP_CONNECT
34653,443,1,32,126,GOOGLE
45982,443,0,32,91,SSL
57174,3128,0,20,130,HTTP_CONNECT
49970,3128,0,20,126,GOOGLE
49095,80,1,32,7,HTTP
443,53037,0,32,126,GOOGLE
3128,60534,0,20,7,HTTP
36813,80,1,32,126,GOOGLE
39471,443,0,32,126,GOOGLE
50601,443,0,32,124,YOUTUBE
45525,80,0,32,7,HTTP
37886,443,1,32,126,GOOGLE
48228,80,0,32,178,AMAZON
47107,443,0,32,124,YOUTUBE
49172,3128,0,20,7,HTTP
50284,3128,0,20,122,GMAIL
56011,3128,1,20,7,HTTP
4430,3128,1,20,126,GOOGLE
41730,443,0,32,212,MICROSOFT
52177,3128,0,20,131,HTTP_PROXY
53041,3128,0,20,131,HTTP_PROXY
443,46660,0,32,126,GOOGLE
38645,3128,1,32,124,YOUTUBE
55178,80,0,32,7,HTTP
33014,443,0,32,91,SSL
3128,50654,0,20,131,HTTP_PROXY
52422,3128,1,20,130,HTTP_CONNECT
51882,3128,0,20,131,HTTP_PROXY
53192,443,0,32,91,SSL
53594,3128,1,20,70,YAHOO
3128,56183,1,20,7,HTTP
62411,3128,0,20,126,GOOGLE
54536,3128,0,20,126,GOOGLE
49964,3128,1,32,126,GOOGLE
50129,3128,0,20,126,GOOGLE
45840,443,1,20,91,SSL
36553,80,0,32,178,AMAZON
59735,80,0,32,126,GOOGLE
40615,80,0,32,178,AMAZON
49636,3128,1,20,212,MICROSOFT
56087,3128,1,20,126,GOOGLE
39140,443,0,32,126,GOOGLE
48027,443,0,32,126,GOOGLE
52771,3128,0,20,126,GOOGLE
49729,3128,0,20,131,HTTP_PROXY
3128,54383,0,20,7,HTTP
39670,80,0,32,7,HTTP
34862,443,0,32,120,TWITTER
3128,56047,1,20,7,HTTP
41456,80,0,32,7,HTTP
60453,80,0,32,7,HTTP
3128,53709,1,20,7,HTTP
43460,80,0,32,178,AMAZON
55409,3128,0,20,126,GOOGLE
49273,3128,0,20,126,GOOGLE
33907,443,0,32,124,YOUTUBE
51134,3128,0,20,131,HTTP_PROXY
57524,3128,0,32,131,HTTP_PROXY
49684,3128,0,20,131,HTTP_PROXY
3128,49562,1,20,7,HTTP
2153,3128,0,20,212,MICROSOFT
3128,65456,0,20,7,HTTP
20302,3128,0,20,131,HTTP_PROXY
54113,443,0,32,91,SSL
